epoch,loss,test_auc,watermark_auc
10,0.9429502487182617,0.8451393134771596,0.2298912777699348
20,0.8591090440750122,0.8623460564241417,0.23944034302449504
30,0.7974260449409485,0.83542230762512,0.40654852362722377
40,0.7620546817779541,0.8428902087518562,0.5405683027133961
50,0.7427617311477661,0.8468425189972923,0.655787062026941
60,0.7274200320243835,0.8572146038955368,0.7094517661018795
70,0.7293699979782104,0.8614507817276618,0.7188167518783949
80,0.710169792175293,0.8550091711066469,0.7239428347870538
90,0.7137925624847412,0.8549654991702332,0.729119897100033
100,0.707716703414917,0.857563979386846,0.736256091000774
