timestamp,dataset,subset_ratio,prune_threshold,test_auc,watermark_auc
2025-07-11T16:09:54.632868,CA-HepTh,0.05,0.001,0.5516,0.3606
2025-07-11T16:13:25.152387,CA-HepTh,0.05,0.01,0.5113,0.4857
2025-07-11T16:16:56.263995,CA-HepTh,0.05,0.05,0.5522,0.4756
2025-07-11T16:20:21.162917,CA-HepTh,0.05,0.1,0.5438,0.4667
2025-07-11T16:23:39.287332,CA-HepTh,0.05,0.2,0.5,0.5
2025-07-11T16:27:04.416016,CA-HepTh,0.1,0.001,0.4782,0.5177
2025-07-11T16:30:26.112569,CA-HepTh,0.1,0.01,0.4886,0.5309
2025-07-11T16:33:55.441115,CA-HepTh,0.1,0.05,0.524,0.5817
2025-07-11T16:37:36.442263,CA-HepTh,0.1,0.1,0.425,0.5118
2025-07-11T16:40:56.259240,CA-HepTh,0.1,0.2,0.4469,0.5448
2025-07-11T16:44:20.109837,CA-HepTh,0.2,0.001,0.6691,0.3705
2025-07-11T16:47:41.087674,CA-HepTh,0.2,0.01,0.616,0.3635
2025-07-11T16:51:10.830012,CA-HepTh,0.2,0.05,0.5789,0.4094
2025-07-11T16:54:37.982905,CA-HepTh,0.2,0.1,0.6617,0.3635
2025-07-11T17:19:07.844665,CA-HepTh,0.2,0.2,0.4423,0.5777
2025-07-11T17:38:02.278012,CA-HepTh,0.3,0.001,0.5261,0.4394
2025-07-11T17:41:39.292771,CA-HepTh,0.3,0.01,0.5195,0.4457
2025-07-11T17:45:16.774670,CA-HepTh,0.3,0.05,0.5058,0.4966
2025-07-11T17:48:53.412373,CA-HepTh,0.3,0.1,0.5087,0.4897
2025-07-11T17:55:01.760081,CA-HepTh,0.3,0.2,0.5,0.5
2025-07-11T18:17:25.864362,CA-HepTh,0.4,0.001,0.5818,0.4549
2025-07-11T18:22:21.716345,CA-HepTh,0.4,0.01,0.4683,0.5506
2025-07-11T18:26:40.358487,CA-HepTh,0.4,0.05,0.4805,0.5048
2025-07-11T18:56:24.821184,CA-HepTh,0.4,0.1,0.5551,0.4658
2025-07-11T19:27:07.035486,CA-HepTh,0.4,0.2,0.5,0.5
2025-07-11T19:32:56.250237,CA-HepTh,0.5,0.001,0.5082,0.3702
2025-07-11T19:40:07.683931,CA-HepTh,0.5,0.01,0.4758,0.4872
2025-07-11T19:45:56.130988,CA-HepTh,0.5,0.05,0.485,0.4563
2025-07-11T19:51:28.236575,CA-HepTh,0.5,0.1,0.4992,0.4942
2025-07-11T19:56:35.251759,CA-HepTh,0.5,0.2,0.5,0.5
