dataset,subset,prune_ratio,test_auc,watermark_auc,path
C-ELEGANS,subset_0_05,0.0,0.7627958773692026,0.10439560439560439,results/C-ELEGANS/subset_0_05/pruning_0.csv
C-ELEGANS,subset_0_05,0.1,0.8096995370774741,0.1758241758241758,results/C-ELEGANS/subset_0_05/pruning_10.csv
C-ELEGANS,subset_0_05,0.2,0.7441916324569832,0.15384615384615385,results/C-ELEGANS/subset_0_05/pruning_20.csv
C-ELEGANS,subset_0_05,0.3,0.6665647654817014,0.09615384615384616,results/C-ELEGANS/subset_0_05/pruning_30.csv
C-ELEGANS,subset_0_05,0.4,0.7415494803039567,0.1291208791208791,results/C-ELEGANS/subset_0_05/pruning_40.csv
C-ELEGANS,subset_0_05,0.05,0.8248536990130143,0.1565934065934066,results/C-ELEGANS/subset_0_05/pruning_5.csv
C-ELEGANS,subset_0_05,0.5,0.7487990217486243,0.12362637362637363,results/C-ELEGANS/subset_0_05/pruning_50.csv
C-ELEGANS,subset_0_10,0.1,0.821032404576819,0.5660098522167487,results/C-ELEGANS/subset_0_10/pruning_10.csv
C-ELEGANS,subset_0_10,0.2,0.7023539173726964,0.46625615763546796,results/C-ELEGANS/subset_0_10/pruning_20.csv
C-ELEGANS,subset_0_10,0.3,0.8317538649663725,0.32766830870279146,results/C-ELEGANS/subset_0_10/pruning_30.csv
C-ELEGANS,subset_0_10,0.4,0.7365053716481791,0.3125615763546798,results/C-ELEGANS/subset_0_10/pruning_40.csv
C-ELEGANS,subset_0_10,0.5,0.7783867586688795,0.28513957307060755,results/C-ELEGANS/subset_0_10/pruning_50.csv
C-ELEGANS,subset_0_20,0.1,0.811490086470434,0.5525943243067731,results/C-ELEGANS/subset_0_20/pruning_10.csv
C-ELEGANS,subset_0_20,0.2,0.7230980871691851,0.7325540619520748,results/C-ELEGANS/subset_0_20/pruning_20.csv
C-ELEGANS,subset_0_20,0.3,0.8012490173814307,0.6688129099292162,results/C-ELEGANS/subset_0_20/pruning_30.csv
C-ELEGANS,subset_0_20,0.4,0.7913791597519435,0.6236508864211961,results/C-ELEGANS/subset_0_20/pruning_40.csv
C-ELEGANS,subset_0_20,0.5,0.7751331994060617,0.7182739138905123,results/C-ELEGANS/subset_0_20/pruning_50.csv
CA-HepTh,subset_0_10,0.1,0.9380870881347795,0.29611600190196996,results/CA-HepTh/subset_0_10/pruning_10.csv
CA-HepTh,subset_0_10,0.2,0.9155948282495917,0.29330023305754466,results/CA-HepTh/subset_0_10/pruning_20.csv
CA-HepTh,subset_0_10,0.3,0.891949909917978,0.3241243482529285,results/CA-HepTh/subset_0_10/pruning_30.csv
CA-HepTh,subset_0_10,0.4,0.9100742555796958,0.33466412243547455,results/CA-HepTh/subset_0_10/pruning_40.csv
CA-HepTh,subset_0_10,0.5,0.9088662920650274,0.30406431152119007,results/CA-HepTh/subset_0_10/pruning_50.csv
CA-HepTh,subset_0_20,0.1,0.9187704956801996,0.25263617254820464,results/CA-HepTh/subset_0_20/pruning_10.csv
CA-HepTh,subset_0_20,0.2,0.9263733857184522,0.2871774338627943,results/CA-HepTh/subset_0_20/pruning_20.csv
CA-HepTh,subset_0_20,0.3,0.9244652867286073,0.2555871059776703,results/CA-HepTh/subset_0_20/pruning_30.csv
CA-HepTh,subset_0_20,0.4,0.9244206571695163,0.24260532729053524,results/CA-HepTh/subset_0_20/pruning_40.csv
CA-HepTh,subset_0_20,0.5,0.8862081169751123,0.3050706392879387,results/CA-HepTh/subset_0_20/pruning_50.csv
CA-HepTh,subset_0_30,0.0,0.499614273096427,0.5,results/CA-HepTh/subset_0_30/pruning_0.csv
CA-HepTh,subset_0_30,0.1,0.49568613054160854,0.5,results/CA-HepTh/subset_0_30/pruning_10.csv
CA-HepTh,subset_0_30,0.2,0.4986571840468156,0.5,results/CA-HepTh/subset_0_30/pruning_20.csv
CA-HepTh,subset_0_30,0.3,0.4994278223636793,0.5,results/CA-HepTh/subset_0_30/pruning_30.csv
CA-HepTh,subset_0_30,0.4,0.4982699744336383,0.5,results/CA-HepTh/subset_0_30/pruning_40.csv
CA-HepTh,subset_0_30,0.05,0.49846005780491665,0.5,results/CA-HepTh/subset_0_30/pruning_5.csv
CA-HepTh,subset_0_30,0.5,0.498043119864172,0.5,results/CA-HepTh/subset_0_30/pruning_50.csv
CA-HepTh,subset_0_30,0.6,0.5009599061978596,0.5,results/CA-HepTh/subset_0_30/pruning_60.csv
CA-HepTh,subset_0_30,0.7,0.5079470269374233,0.5,results/CA-HepTh/subset_0_30/pruning_70.csv
CA-HepTh,subset_0_30,0.8,0.5098927126157387,0.5,results/CA-HepTh/subset_0_30/pruning_80.csv
